,Date,Link,Title,Subtitle,Authors
17,"Wednesday, 7 December, 2022",https://www.ft.com/content/5cc517df-4903-4b15-b259-8213fd744a12,US stocks slip as China’s weak export data spark economic growth fears,Crude oil prices extend this week’s fall on demand worries,"['George Steer', 'Jaren Kerr']"
18,"Wednesday, 7 December, 2022",https://www.ft.com/content/48c1793c-3e31-4ab4-ab02-fd5e94b64f6b,Vanguard quits climate alliance in blow to net zero project,World’s second-largest asset manager cites investor ‘confusion’ amid increase in criticism from Republicans,"['Brooke Masters', 'Patrick Temple-West']"
19,"Wednesday, 7 December, 2022",https://www.ft.com/content/195d6a3a-a320-46ec-b879-c7753d1bf205,Blackstone chief dismisses concerns over $69bn real estate fund,Stephen Schwarzman calls Breit vehicle ‘some of our best work’ after limits on investor withdrawals,['Antoine Gara']
21,"Wednesday, 7 December, 2022",https://www.ft.com/content/85037ce2-43f7-4381-85b4-2a3447cb993d,Hunt to overhaul UK ‘senior managers’ regime’,Chancellor will announce review of post-crisis rules on bankers’ conduct as part of wider regulation reform,"['George Parker', 'Daniel Thomas', 'Laura Noonan']"
22,"Wednesday, 7 December, 2022",https://www.ft.com/content/c0f2fcc1-00e9-4368-9316-7c0ff66e53dc,"Live news updates from December 7: China retreats from zero-Covid policies, Democrats expand Senate majority",Chancellor will announce review of post-crisis rules on bankers’ conduct as part of wider regulation reform,"['Jaren Kerr', 'Alexandra White', 'Peter Wells', 'Akila Quinio', 'Sarah Provan', 'Oliver Ralph', 'Mark Wembridge', 'William Langley']"
23,"Wednesday, 7 December, 2022",https://www.ft.com/content/ce5bb64d-83dc-4aaa-bcf8-6506732b9b4e,Ron DeSantis’s war on woke puts BlackRock on the frontline,Florida is the latest Republican state to target ESG investing,['The editorial board']
24,"Wednesday, 7 December, 2022",https://www.ft.com/content/d681cabf-3189-442c-a9ed-2fd51b2f68fd,Norwegian oil fund to vote against companies without net zero targets,Nicolai Tangen says $1.3tn sovereign wealth investor will also look at groups that overpay executives,['Richard Milne']
25,"Wednesday, 7 December, 2022",https://www.ft.com/content/69577856-f5bf-4969-9e1b-f03976fe6c9a,LDI pension managers dismiss claim that leverage strategies caused gilts turmoil,UK policymakers examine use of ‘poorly managed’ leverage after crisis led to BoE intervention,['Josephine Cumbo']
26,"Wednesday, 7 December, 2022",https://www.ft.com/content/4c91e656-eaae-424f-83f4-0b3c783a889c,Hungary scraps fuel price cap after drop in imports curbs supply,PM Viktor Orbán reverses signature policy as cost of imports soars after Russian sanctions disrupt market,['Marton Dunai']
27,"Wednesday, 7 December, 2022",https://www.ft.com/content/e14a0559-a8ca-4d62-a195-db355575b8b0,LatAm rates: early bird central banks should give a boost to bonds,"For investors in local currency bonds, rising prices could come sooner than many expect",[]
28,"Wednesday, 7 December, 2022",https://www.ft.com/content/2323d807-79da-417b-a0eb-3218663297ae,DWS: Hoops courts market with EPS jump and payout slam-dunk,The promise of a big special dividend should underpin the stock for the coming months,[]
29,"Wednesday, 7 December, 2022",https://www.ft.com/content/cfd7dbfc-3a77-47d1-a4d5-d61573af027f,Do I have to split my wealth 50/50 with my husband?,We don’t have children and are getting divorced,['Lucy Warwick-Ching']
30,"Wednesday, 7 December, 2022",https://www.ft.com/content/bb067c8b-b45e-4a9d-ba8b-38bbc9a4b997,Biodiversity offsets: Carbon credits’ contentious cousins,"Plus, the fight to decarbonise kitchens around the world","['Patrick Temple-West', 'Tamami Shimizuishi']"
31,"Wednesday, 7 December, 2022",https://www.ft.com/content/dab940ab-3fd5-49cc-b37c-a6b4a49b0699,China’s reopening to reverberate around global markets,Speedy growth could renew commodities and intensify inflationary pressure,['Leo Lewis']
32,"Wednesday, 7 December, 2022",https://www.ft.com/content/cbdcbf5e-3795-4c4e-b215-ca98f1fd4b14,UK watchdog fines 3 traders for ‘market manipulation’ in Italian bond futures,Financial Conduct Authority says trio placed ‘large misleading orders’ they did not intend to execute,"['Nikou Asgari', 'Sarah Provan', 'Kana Inagaki']"
33,"Wednesday, 7 December, 2022",https://www.ft.com/content/2b0601e2-d371-404d-8531-227f11d4a83f,FTX held talks with Taylor Swift over $100mn sponsorship deal,Negotiations between singer-songwriter and Sam Bankman-Fried’s crypto group collapsed this spring,"['Joshua Oliver', 'Nikou Asgari', 'Anna Nicolaou', 'Antoine Gara']"
34,"Wednesday, 7 December, 2022",https://www.ft.com/content/44b4db5b-06a2-4625-910e-df49d5045903,There is still value in value stocks,"The cheapest stocks are really, really cheap",['Robert Armstrong']
36,"Wednesday, 7 December, 2022",https://www.ft.com/content/ac0805f2-292e-4e7c-8d2d-bec5af9c4577,European tech groups lose $400bn in value following funding crunch,Investor wariness creates first big test of continent’s tech scene since rise of start-ups Spotify and Revolut,['Tim Bradshaw']
37,"Wednesday, 7 December, 2022",https://www.ft.com/content/ed420d8d-2982-46b7-b525-a1affc88b834,China’s next stage of the pandemic,Brent crude oil falls below $80 for first time since January,[]
38,"Wednesday, 7 December, 2022",https://www.ft.com/content/90dcc9b7-3371-411e-9d80-a2be0b4c10ca,How a Russian oil tanker tried to conceal its location,The Kapitan Schemilkin’s spoofing attempts show that Moscow knows how to use sanction-busting techniques,"['Chris Cook', 'David Sheppard', 'Polina Ivanova']"
39,"Wednesday, 7 December, 2022",https://www.ft.com/content/fad8a77e-6df5-45b3-91f2-5b98e09d8b0c,US and UK pledge to maintain high levels of LNG trade,New ‘energy partnership’ aims to boost amount of liquefied natural gas sent to UK while reducing reliance on Russia,"['David Sheppard', 'Derek Brower']"
41,"Tuesday, 6 December, 2022",https://www.ft.com/content/485793f2-19d7-49d8-a00d-24f18df157cc,Petrobras CEO to leave as Lula prepares to take office in Brazil,President-elect has called for a change in strategy at the state-controlled oil producer,['Michael Pooler']
42,"Tuesday, 6 December, 2022",https://www.ft.com/content/3bc02801-732d-46a2-b640-ad91c5b5dc24,BlackRock chief Fink pressured to resign over ESG ‘hypocrisy’,"Activist fund Bluebell Capital Partners previously targeted Richemont, Danone and Solvay",['Brooke Masters']
44,"Tuesday, 6 December, 2022",https://www.ft.com/content/48931bc2-c1de-4b9f-8dcc-3d398d50354e,"KPMG staff cheated on professional tests, US regulator says","Fines from oversight board total $7.7mn in actions against accountant’s networks in the UK, Colombia and India",['Stephen Foley']
45,"Tuesday, 6 December, 2022",https://www.ft.com/content/b7ca0ac8-b937-4010-9104-c690d3a4c8ce,Brent crude oil falls below $80 for first time since January,US stocks also lose ground after upbeat economic data revive concerns over Fed rate rises,"['George Steer', 'Harriet Clarfelt']"
46,"Tuesday, 6 December, 2022",https://www.ft.com/content/e9c47d2a-c6de-43cf-abd5-9b064580bbaf,"Live news updates from December 6: Trump Organization convicted of tax fraud, Kirchner sentenced to 6 years",US stocks also lose ground after upbeat economic data revive concerns over Fed rate rises,"['Jaren Kerr', 'Peter Wells', 'Alexandra White', 'Oliver Ralph', 'Sarah Provan', 'Akila Quinio', 'Mark Wembridge', 'William Langley', 'George Russell']"
47,"Tuesday, 6 December, 2022",https://www.ft.com/content/616a6900-43bc-4fa7-bde1-543ae799adfb,Signature says it is ‘not just a crypto bank’ as it sheds deposits,US institution that courted digital assets plans to offload as much as $10bn tied to cryptocurrencies,['Joshua Franklin']
48,"Tuesday, 6 December, 2022",https://www.ft.com/content/195094b5-750f-4a73-bb4c-9b64224864ad,UK financial regulators warned to improve transparency,Demand from Treasury for ‘world-leading’ effectiveness ahead of unveiling of ‘Edinburgh Reforms’ for City,"['Laura Noonan', 'Daniel Thomas', 'George Parker']"
50,"Tuesday, 6 December, 2022",https://www.ft.com/content/dc40a88f-7d20-4a17-a37c-332f35b65942,How the G7’s oil price cap blocked the Bosphorus,Disruption in Turkish waters is first sign of potential unintended consequences of intervention in global markets,['Tom Wilson']
51,"Tuesday, 6 December, 2022",https://www.ft.com/content/0edbaaac-6f51-45d2-9b35-7e45718a51de,Oil prices: bulls may get a last hurrah,Renewables are growing rapidly but crude has room to spike higher on its way out,[]
52,"Tuesday, 6 December, 2022",https://www.ft.com/content/56b54ce0-6f6e-4042-91bc-cd8e631fad29,World Bank warns of mounting debt burden for poorer countries,Higher interest rates and slump in currencies raise debt servicing costs by more than a third,['Jonathan Wheatley']
53,"Tuesday, 6 December, 2022",https://www.ft.com/content/ed8c59da-fcd2-4c83-9ecb-6e71e1de3575,Glencore to accelerate coal mine closures,World’s biggest miner cuts back in most profitable part of its business to meet emissions targets,['Leslie Hook']
54,"Tuesday, 6 December, 2022",https://www.ft.com/content/5b90f372-dbcb-48e8-8e23-d837e676f640,Crypto regulation: UK must end  hyped-up claims for stablecoins,It is hard to argue the stability of any coin connected to the market,[]
55,"Tuesday, 6 December, 2022",https://www.ft.com/content/f6c409d3-a29b-48f8-9f17-5586a1963d16,Electric car battery prices rise for first time in more than a decade,Soaring cost of key metals challenges efforts to turn EVs into mass-market product,['Harry Dempsey']
56,"Tuesday, 6 December, 2022",https://www.ft.com/content/9643a519-e61f-4cba-aef5-5d7a3add20cb,Is Boris Johnson really the emissary that blockchain needs right now?,FTX’s ignominious collapse leaves a sector searching for justification,['Mercedes Ruehl']
57,"Tuesday, 6 December, 2022",https://www.ft.com/content/0db899ad-1d7e-43be-bacd-7f6b2f0a1d4f,Washington’s reassurance to Rome raises survival hopes for Italy’s biggest refinery,Removal of sanctions risk for lenders could unlock bridge financing to Russian-owned ISAB Lukoil facility,"['Silvia Sciorilli Borrelli', 'James Fontanella-Khan']"
58,"Tuesday, 6 December, 2022",https://www.ft.com/content/05a72205-cbfd-4925-bd28-9a2750a52ab2,The (American) age of ETFs,A quick update,['Robin Wigglesworth']
59,"Tuesday, 6 December, 2022",https://www.ft.com/content/38ac9101-4642-4acf-92ba-3f7580987deb,US bank Silvergate defends ties to Bankman-Fried’s crypto groups,Federal Reserve-regulated company says it performed ‘significant due diligence’ on FTX and Alameda Research,['Joshua Oliver']
60,"Tuesday, 6 December, 2022",https://www.ft.com/content/98cec49f-6682-4495-b7be-793bf2589c6d,"Solar power expected to surpass coal in 5 years, IEA says",Renewable energy forecast to become largest source of electricity generation as soon as 2025,['Camilla Hodgson']
61,"Tuesday, 6 December, 2022",https://www.ft.com/content/7aac1c58-883e-45f6-95cf-21687f426cab,China still looks scary,And ESG is not getting better,['Robert Armstrong']
62,"Tuesday, 6 December, 2022",https://www.ft.com/content/6446220c-41e8-4937-9860-8d075d297aa8,‘Who is going to buy?’ UK set to unleash historic debt deluge,Government will need to issue around £240bn in gilts a year for the next half decade to finance its spending,['Tommy Stubbington']
63,"Tuesday, 6 December, 2022",https://www.ft.com/content/128254bb-6715-41cf-97e6-89393804299c,Franklin Templeton aims to launch active Ucits ETFs in Asia,Asset manager hopes to list in Hong Kong and Singapore in first instance,['Ernest Chan']
65,"Tuesday, 6 December, 2022",https://www.ft.com/content/b050a037-9047-4f77-ad3c-ff40ed4fd5bc,Business is caught in political crossfire of ESG disputes,Kind actions by companies face harsh legal jeopardy,['Brooke Masters']
66,"Tuesday, 6 December, 2022",https://www.ft.com/content/ad318332-44bb-4a50-bd8b-43f30cee765f,Legal advisers wade into crypto contagion,Lawyers are grappling with fallout from the collapse of FTX and its domino effects in the cryptocurrency sector,['Scott Chipolina']
67,"Tuesday, 6 December, 2022",https://www.ft.com/content/eb438152-c9bd-467b-b468-6a103aa4216c,Investors need to adapt to the new multipolar world,Lower returns and higher volatility require a mindshift away from chasing asset appreciation in a world of easy money,['Sonja Laud']
68,"Monday, 5 December, 2022",https://www.ft.com/content/eef5f262-df94-4aca-97c1-a4871279a428,US stocks stumble after hotter than expected services data,Chinese equities surge as Beijing eases zero-Covid restrictions,"['George Steer', 'Jaren Kerr']"
70,"Monday, 5 December, 2022",https://www.ft.com/content/481d45d8-943e-484b-84ca-3b11f02c0ee4,UK finalises plans for regulation of ‘wild west’ crypto sector,Implosion of FTX injects fresh urgency into government’s pledge to impose order,"['Daniel Thomas', 'Laura Noonan', 'George Parker']"
71,"Monday, 5 December, 2022",https://www.ft.com/content/d08d8583-cf2a-43e6-b262-d8eab81c98c8,Oil tanker jam forms off Turkey after start of Russian oil cap,Vessels mass in Turkish waters after Ankara demands confirmation of insurance cover,"['Tom Wilson', 'David Sheppard', 'Ian Smith', 'Ayla Jean Yackley']"
73,"Monday, 5 December, 2022",https://www.ft.com/content/239a01b1-401e-4851-9825-8d491a6f5008,The hottest US export is the dollar,If only central banks could keep track of it,['Alexandra Scaggs']
74,"Monday, 5 December, 2022",https://www.ft.com/content/70ab233a-3017-42be-b20d-6852bde044c7,West tightens screw on Russia over energy,"Today’s edition includes reaction to China’s relaxation of Covid-19 restrictions, a new UK recession warning and battles over executive pay",['Darren Dodd']
75,"Monday, 5 December, 2022",https://www.ft.com/content/66e8faee-9cfa-4017-b0fd-6f884a672e76,The west’s messy Russian oil price cap begins to bite,"Policy is two steps forward and one step back, but in the right direction",['The editorial board']
76,"Monday, 5 December, 2022",https://www.ft.com/content/e889103c-096e-4597-9290-94c5278013a2,Coinbase bonds: FTX saga saps credibility of Wall St wannabe,The securities are beginning to look like relics of a bygone era,[]
77,"Monday, 5 December, 2022",https://www.ft.com/content/aa7657ae-da55-47a7-99f6-826b9daf9223,Fido (hearts) ETFs,Damascene conversions,['Robin Wigglesworth']
79,"Monday, 5 December, 2022",https://www.ft.com/content/c414257e-a917-4e2b-a022-572268d77515,Crypto group Circle ends $9bn deal to go public through Bob Diamond’s Spac,Collapse of tie-up follows FTX bankruptcy and other crises in the sector,['Scott Chipolina']
80,"Monday, 5 December, 2022",https://www.ft.com/content/9a4b2f1b-0270-4fd6-89b6-b99482b6239e,Trafigura secures $3bn loan facility to provide Germany with natural gas,Deal is latest move by a commodity trader to help Berlin following Russia’s invasion of Ukraine,['David Sheppard']
81,"Monday, 5 December, 2022",https://www.ft.com/content/c618d2de-8e26-4541-bd02-bcfda87c2956,"Market turmoil threatens to undermine efforts to curb inflation, says BIS",Bank for International Settlements warns risks that have built up could trigger central bank bailouts,['Delphine Strauss']
82,"Monday, 5 December, 2022",https://www.ft.com/content/e441c30d-9b9e-4be3-ab38-ceb8590a3fac,What to expect from this month’s nature COP,"Plus, what do US voters make of the anti-ESG crusade?","['Kenza Bryan', 'Andrew Edgecliffe-Johnson']"
83,"Monday, 5 December, 2022",https://www.ft.com/content/e332c5a7-4cda-4773-8782-89faccadc35f,Chinese stocks and currency rally on reopening hopes,Renminbi hits 12-week high as Morgan Stanley upgrades country’s equities to ‘overweight’,"['Hudson Lockett', 'Tom Mitchell']"
84,"Monday, 5 December, 2022",https://www.ft.com/content/a0fcd0d2-bc25-467d-bded-d940fa628487,How the gates closed on Blackstone’s runaway real estate vehicle,Redemptions from Breit accelerated in July as Asian property markets plunged and interest rates rose,"['Antoine Gara', 'Sujeet Indap', 'Kaye Wiggins']"
85,"Monday, 5 December, 2022",https://www.ft.com/content/f65249ee-243a-485a-8b79-a1c4534f460f,Indian equities hit record high as investors look beyond China,Supply chain disruptions caused by Beijing’s strict zero-Covid policies boost country’s appeal to multinationals,['Chris Flood']
86,"Monday, 5 December, 2022",https://www.ft.com/content/d5be47aa-29c2-4334-81e7-b3fb226886be,"Live news updates from December 5: Moscow rejects oil price cap, US stocks drop on hot services data",Supply chain disruptions caused by Beijing’s strict zero-Covid policies boost country’s appeal to multinationals,"['Jaren Kerr', 'Alexandra White', 'Peter Wells', 'Akila Quinio', 'Oliver Ralph', 'Sarah Provan', 'Mark Wembridge', 'William Langley']"
87,"Monday, 5 December, 2022",https://www.ft.com/content/07324c3d-d7a5-4ef4-a724-33ce4625f67f,There is no alternative to alternative assets,Diversifying into private markets can build resilience but expertise and experience are required,['Elif Aktug']
88,"Monday, 5 December, 2022",https://www.ft.com/content/7f651e23-d545-404f-a137-4f92b6486870,Financial instability: the hunt for the next market fracture,Investors are keeping a close eye on areas ranging from US Treasury market illiquidity to Japanese government debt,"['Eric Platt', 'Kate Duguid', 'Tommy Stubbington', 'Jonathan Wheatley', 'Leo Lewis']"
89,"Monday, 5 December, 2022",https://www.ft.com/content/8fa961a0-1d21-45f6-b15e-3fdc8e16c093,War and adverse weather set to keep food prices high,"Farmers have been unable to boost supply, leading to expectations that costs will remain above pre-pandemic levels","['Emiko Terazono', 'Valentina Romei']"
90,"Monday, 5 December, 2022",https://www.ft.com/content/9d905960-e79d-4bb4-adcf-515997e3d4ae,Investors demand end to ‘forever’ chemicals,Asset managers tell companies to phase out hazardous PFAS compounds linked to human health problems,['Chris Flood']
91,"Monday, 5 December, 2022",https://www.ft.com/content/0ab21afc-d034-4279-8ce1-4469d0ce8489,Europe cuts gas demand by a quarter to shed reliance on Russia,Countries have been finding alternative sources and making changes to curb demand,['Shotaro Tani']
92,"Monday, 5 December, 2022",https://www.ft.com/content/79511b58-9dc8-41e4-9d6f-d4572cd3a79a,World’s largest gold ETF to use non-UK vaults for the first time,HSBC was sole custodian of $52.5bn SPDR Gold Trust but it will now add JPMorgan vaults in Zurich and New York,['Steve Johnson']
94,"Monday, 5 December, 2022",https://www.ft.com/content/c89ce0a5-825f-4416-95d5-6597816a4cdb,The struggle is real for investors in the high-rate era,"Opec makes no production changes yesterday, cartel awaits Russia oil price cap to take effect",[]
95,"Monday, 5 December, 2022",https://www.ft.com/content/5b941017-a3ab-43b1-b1b9-23bccd8ef9b1,Asset managers pour money into tech platforms to take on BlackRock,Companies including State Street and Pimco compete to capture slice of outsourced IT services,"['Brooke Masters', 'Harriet Agnew']"
96,"Sunday, 4 December, 2022",https://www.ft.com/content/f088dbe6-f78a-40b6-b8db-492c1d94c893,Meloni pushes back on Italy’s shift into digital payments age,Brussels may resist plan to give businesses the right to demand cash for low-value transactions,['Amy Kazmin']
97,"Sunday, 4 December, 2022",https://www.ft.com/content/269a0036-c01e-464d-856d-ef5ec682a651,Opec+ says it is ready to adjust oil output as Russia embargo looms,Producer cartel could take ‘immediate’ action as EU ban on crude imports is set to start,"['David Sheppard', 'Tom Wilson']"
99,"Sunday, 4 December, 2022",https://www.ft.com/content/f2c47cf6-c515-4655-aacf-e4ba30d1b105,What will Chinese trade data tell us about the economy?,Market Questions is the FT’s guide to the week ahead,"['Hudson Lockett', 'Kate Duguid', 'Ayla Jean Yackley']"
100,"Sunday, 4 December, 2022",https://www.ft.com/content/82d4c6af-b426-4c92-b7dd-05845cdd1382,Brazilian mine to begin lithium production in 2023 as demand soars,Canada-listed Sigma Lithium aims to have product ready for shipping by next April as it triples production target,['Michael Pooler']
102,"Sunday, 4 December, 2022",https://www.ft.com/content/bb4f6ad2-0973-4c9d-9cc8-688290c6644e,Yen stages comeback against the dollar,Japan’s currency plunged to multi-decade lows in early autumn but investors eye a turning point,['Leo Lewis']
103,"Sunday, 4 December, 2022",https://www.ft.com/content/a1df1d73-9932-4d1b-b63a-c0c82241a236,‘We kind of lost track’: how Sam Bankman-Fried blurred lines between FTX and Alameda,Exchange’s former CEO says he was close to key decisions at nominally separate trading firm,['Joshua Oliver']
104,"Sunday, 4 December, 2022",https://www.ft.com/content/a9e06f16-53a6-4d90-9e88-bc8119e0308d,UK companies prepare for battle with investors over executive pay,Boards under pressure to show restraint for executives as cost of living crisis hits workers,"['Daniel Thomas', 'Harriet Agnew']"
105,"Sunday, 4 December, 2022",https://www.ft.com/content/b4573496-baaf-4592-b9b5-de194a629f84,Posco chief warns strong dollar is dragging down profits,South Korea’s largest steelmaker grapples with weaker demand as global economy cools,"['Song Jung-a', 'Christian Davies']"
106,"Sunday, 4 December, 2022",https://www.ft.com/content/39e7b887-54d2-4007-9180-24366c83561d,Is Fomo the new greed when it comes to investing?,Fear of missing out on the rewards of tech and crypto led to irrational exuberance,['Leo Lewis']
108,"Saturday, 3 December, 2022",https://www.ft.com/content/6c0d0364-2b3d-41b8-bcdc-0710067e296b,Opec+ tipped to hold oil output levels steady,Weekend summit to be held online in a sign the cartel is likely to keep production targets unchanged,"['David Sheppard', 'Tom Wilson']"
109,"Saturday, 3 December, 2022",https://www.ft.com/content/1e435a4e-e8f9-4330-be84-99c516630d4a,Sam Bankman-Fried’s trading shop was given special treatment on FTX for years,"Alameda Research was exempt from borrowing limits applied to exchange’s other clients, former billionaire tells FT",['Joshua Oliver']
110,"Saturday, 3 December, 2022",https://www.ft.com/content/32977a99-c1c3-4f34-9ecc-4057217bf974,Crypto broker Genesis owes Winklevoss exchange’s customers $900mn,New York-based Gemini is trying to recover funds after FTX failure plunged market into turmoil,"['Nikou Asgari', 'Joshua Oliver']"
111,"Saturday, 3 December, 2022",https://www.ft.com/content/eb92e0a3-3eb6-4a7a-b9b3-ceecf7726f60,Darjeeling tea price tumbles after India leaf-blending quarrel,Growers warn financial crisis is threatening ‘champagne’ of brews,['Benjamin Parkin']
112,"Friday, 2 December, 2022",https://www.ft.com/content/5b942b07-01cc-4e12-b803-7eb1507f6eec,EU reaches deal to impose $60 cap on Russian oil exports,Poland drops objections after Brussels pledges to work on new package of sanctions against Moscow,['Henry Foy']
113,"Friday, 2 December, 2022",https://www.ft.com/content/fd118019-1cd4-442d-b3e4-f9cc8164d0d0,Wall St stocks gain for second straight week on hopes of Fed slowing rate rises,Stocks inch lower on Friday after a hotter than expected US jobs report,"['Jaren Kerr', 'George Steer']"
114,"Friday, 2 December, 2022",https://www.ft.com/content/2a5cd60f-306c-4891-a4ba-ecdc55d82ec1,FTX collapse sends shockwaves through Coinbase’s stocks and bonds,US-listed exchange’s debt is trading at ‘distressed’ level with crypto industry under pressure,"['Harriet Clarfelt', 'Scott Chipolina']"
115,"Friday, 2 December, 2022",https://www.ft.com/content/cdef936b-852e-43d8-ae55-33bcbbb82eb6,Russia assembles ‘shadow fleet’ of tankers to help blunt oil sanctions,Shipping brokers estimate more than 100 vessels have been acquired this year to transport crude for Moscow,"['David Sheppard', 'Chris Cook', 'Polina Ivanova']"
116,"Friday, 2 December, 2022",https://www.ft.com/content/ce8f89c9-d4fa-478a-9811-245a2e8ed37f,Relief rally faces big tests,Powell comments lift investor sentiment but impact of a long-anticipated US economic downturn looms,['Katie Martin']
117,"Friday, 2 December, 2022",https://www.ft.com/content/9b2dfce8-0013-4b38-afbf-c453b71bea8b,‘Competitiveness’ mantra must not let risky banking rise again,"We should not relax ringfencing, not least because UK banks remain undercapitalised",['Martin Wolf']
118,"Friday, 2 December, 2022",https://www.ft.com/content/790f5302-a30d-41fd-bac4-2aef1fe6b04a,Marshall Wace partners to share £720mn profits,Bumper payout comes during highly mixed period for $3.8tn hedge fund industry,['Laurence Fletcher']
119,"Friday, 2 December, 2022",https://www.ft.com/content/85b8e8b2-8b30-4b50-ad62-d744fd449f75,Treat the finance geek in your life* to FT Alphaville merch,*buying stuff for yourself is fine,[]
120,"Friday, 2 December, 2022",https://www.ft.com/content/756e6214-04ae-47d8-a406-deaad5b401ac,"Live news updates from December 2: EU reaches price cap deal on Russian oil, US adds more jobs than expected",*buying stuff for yourself is fine,"['Jaren Kerr', 'Alexandra White', 'Steff Chávez', 'Sarah Provan', 'Akila Quinio', 'Oliver Ralph', 'Mark Wembridge', 'William Langley']"
121,"Friday, 2 December, 2022",https://www.ft.com/content/d118dd10-6588-4b20-9e35-1307d70df288,Venture capital trusts: overpriced or time to buy?,More than £440mn has been raised by VCTs since the start of the tax year,['Mary McDougall']
123,"Friday, 2 December, 2022",https://www.ft.com/content/ee67fb66-9003-4684-a32f-a17c26e388bc,Bitcoin meets mainstream rejection,"Plus, updates on one embarrassed FTX bull",['Scott Chipolina']
124,"Friday, 2 December, 2022",https://www.ft.com/content/2dd3902c-256d-4280-9df0-f3f8b8683447,Watchdog warns firms over CFD mis-selling risks,Market turmoil increases dangers in highly-leveraged products,['Rafe Uddin']
125,"Friday, 2 December, 2022",https://www.ft.com/content/5e9dc424-aef4-4981-a4d7-e3c40e1e6085,Bankman-Fried’s hedge fund took big hit to prop up FTX exchange,Alameda Research sustained up to $1bn loss last year when client’s trade on obscure token went sour,"['Joshua Oliver', 'Kadhim Shubber']"
126,"Friday, 2 December, 2022",https://www.ft.com/content/c2a24202-d4ff-4ada-8bec-42a9c413453f,Investors launch new initiative to target the ‘S’ in ESG,"Plus, what locust swarms have to do with climate finance","['Simon Mundy', 'Kenza Bryan']"
128,"Friday, 2 December, 2022",https://www.ft.com/content/e925cbbd-5b81-45ca-8c67-313728223ea9,UK financial regulator warns insurers over unfair payouts,Financial Conduct Authority says it has seen evidence that cars are being undervalued,['Ian Smith']
